year,census,date,site_code,rep,microsite,lat,long,height_m,n_branches,n_flowers,n_visits
2023,1,20/02/2023,MNP,1,cacti,35.85103,-116.18620,1.2,17,,
2023,1,20/02/2023,MNP,2,,,,,,,
2023,1,20/02/2023,MNP,3,,,,,,,
2023,1,20/02/2023,MNP,4,,,,,,,
2023,1,20/02/2023,MNP,5,,,,,,,
2023,1,20/02/2023,MNP,6,,,,,,,
2023,1,20/02/2023,MNP,7,,,,,,,
2023,1,20/02/2023,MNP,8,,,,,,,
2023,1,20/02/2023,MNP,9,,,,,,,
2023,1,20/02/2023,MNP,10,,,,,,,
2023,2,date,MNP,1,different cacti each night please,,,,,,
2023,2,date,MNP,2,,,,,,,
2023,2,date,MNP,3,,,,,,,
2023,2,date,MNP,4,,,,,,,
2023,2,date,MNP,5,,,,,,,
2023,2,date,MNP,6,,,,,,,
2023,2,date,MNP,7,,,,,,,
2023,2,date,MNP,8,,,,,,,
2023,2,date,MNP,9,,,,,,,
2023,2,date,MNP,10,,,,,,,
2023,3,date,MNP,1,,,,,,,
2023,3,date,MNP,2,,,,,,,
2023,3,date,MNP,3,,,,,,,
2023,3,date,MNP,4,,,,,,,
2023,3,date,MNP,5,,,,,,,
2023,3,date,MNP,6,,,,,,,
2023,3,date,MNP,7,,,,,,,
2023,3,date,MNP,8,,,,,,,
2023,3,date,MNP,9,,,,,,,
2023,3,date,MNP,10,,,,,,,
2023,4,date,MNP,1,,,,,,,
2023,4,date,MNP,2,,,,,,,
2023,4,date,MNP,3,,,,,,,
2023,4,date,MNP,4,,,,,,,
2023,4,date,MNP,5,,,,,,,
2023,4,date,MNP,6,,,,,,,
2023,4,date,MNP,7,,,,,,,
2023,4,date,MNP,8,,,,,,,
2023,4,date,MNP,9,,,,,,,
2023,4,date,MNP,10,,,,,,,
2023,5,date,MNP,1,,,,,,,
2023,5,date,MNP,2,,,,,,,
2023,5,date,MNP,3,,,,,,,
2023,5,date,MNP,4,,,,,,,
2023,5,date,MNP,5,,,,,,,
2023,5,date,MNP,6,,,,,,,
2023,5,date,MNP,7,,,,,,,
2023,5,date,MNP,8,,,,,,,
2023,5,date,MNP,9,,,,,,,
2023,5,date,MNP,10,,,,,,,